Start X,Start Y,Goal X,Goal Y,Epsilon,Max N,Success,Time (ms),Path Length
0.0,0.0,5.0,5.0,0.3,100,True,6.48,1
0.0,0.0,5.0,5.0,0.3,500,True,36.92,1
0.0,0.0,5.0,5.0,0.3,1000,True,100.58,1
0.0,0.0,5.0,5.0,0.3,5000,True,2949.86,1
0.0,0.0,5.0,5.0,0.5,100,True,7.39,1
0.0,0.0,5.0,5.0,0.5,500,True,50.29,1
0.0,0.0,5.0,5.0,0.5,1000,True,139.26,1
0.0,0.0,5.0,5.0,0.5,5000,True,3282.92,1
0.0,0.0,5.0,5.0,1.0,100,True,11.13,1
0.0,0.0,5.0,5.0,1.0,500,True,51.65,1
0.0,0.0,5.0,5.0,1.0,1000,True,175.37,1
0.0,0.0,5.0,5.0,1.0,5000,True,3676.02,1
0.0,0.0,5.0,5.0,1.5,100,True,10.03,1
0.0,0.0,5.0,5.0,1.5,500,True,61.49,1
0.0,0.0,5.0,5.0,1.5,1000,True,168.22,1
0.0,0.0,5.0,5.0,1.5,5000,True,3491.87,1
0.0,0.0,8.0,3.0,0.3,100,True,6.02,1
0.0,0.0,8.0,3.0,0.3,500,True,57.94,1
0.0,0.0,8.0,3.0,0.3,1000,True,109.91,1
0.0,0.0,8.0,3.0,0.3,5000,True,2819.15,1
0.0,0.0,8.0,3.0,0.5,100,True,6.78,1
0.0,0.0,8.0,3.0,0.5,500,True,47.96,1
0.0,0.0,8.0,3.0,0.5,1000,True,143.03,1
0.0,0.0,8.0,3.0,0.5,5000,True,3424.83,1
0.0,0.0,8.0,3.0,1.0,100,True,9.61,1
0.0,0.0,8.0,3.0,1.0,500,True,56.85,1
0.0,0.0,8.0,3.0,1.0,1000,True,170.55,1
0.0,0.0,8.0,3.0,1.0,5000,True,3363.39,1
0.0,0.0,8.0,3.0,1.5,100,True,9.90,1
0.0,0.0,8.0,3.0,1.5,500,True,57.06,1
0.0,0.0,8.0,3.0,1.5,1000,True,163.97,1
0.0,0.0,8.0,3.0,1.5,5000,True,3490.20,1
0.0,0.0,3.0,8.0,0.3,100,True,6.12,1
0.0,0.0,3.0,8.0,0.3,500,True,35.60,1
0.0,0.0,3.0,8.0,0.3,1000,True,102.72,1
0.0,0.0,3.0,8.0,0.3,5000,True,2904.93,1
0.0,0.0,3.0,8.0,0.5,100,True,7.48,1
0.0,0.0,3.0,8.0,0.5,500,True,45.67,1
0.0,0.0,3.0,8.0,0.5,1000,True,170.51,1
0.0,0.0,3.0,8.0,0.5,5000,True,3540.34,1
0.0,0.0,3.0,8.0,1.0,100,True,9.57,1
0.0,0.0,3.0,8.0,1.0,500,True,54.68,1
0.0,0.0,3.0,8.0,1.0,1000,True,179.96,1
0.0,0.0,3.0,8.0,1.0,5000,True,3832.86,1
0.0,0.0,3.0,8.0,1.5,100,True,10.62,1
0.0,0.0,3.0,8.0,1.5,500,True,59.00,1
0.0,0.0,3.0,8.0,1.5,1000,True,170.37,1
0.0,0.0,3.0,8.0,1.5,5000,True,3472.86,1
2.0,2.0,7.0,7.0,0.3,100,True,7.56,1
2.0,2.0,7.0,7.0,0.3,500,True,35.13,1
2.0,2.0,7.0,7.0,0.3,1000,True,102.77,1
2.0,2.0,7.0,7.0,0.3,5000,True,3166.68,1
2.0,2.0,7.0,7.0,0.5,100,True,7.70,1
2.0,2.0,7.0,7.0,0.5,500,True,45.42,1
2.0,2.0,7.0,7.0,0.5,1000,True,141.09,1
2.0,2.0,7.0,7.0,0.5,5000,True,3433.09,1
2.0,2.0,7.0,7.0,1.0,100,True,9.29,1
2.0,2.0,7.0,7.0,1.0,500,True,56.69,1
2.0,2.0,7.0,7.0,1.0,1000,True,172.56,1
2.0,2.0,7.0,7.0,1.0,5000,True,3580.43,1
2.0,2.0,7.0,7.0,1.5,100,True,10.83,1
2.0,2.0,7.0,7.0,1.5,500,True,52.52,1
2.0,2.0,7.0,7.0,1.5,1000,True,181.50,1
2.0,2.0,7.0,7.0,1.5,5000,True,3465.22,1
