Arquitectura,Learning_Rate,Epochs,Batch_Size,Tiempo_Entrenamiento_s,Porcentaje_Exito
"[784, 30, 4]",10.0,50,10,27.18,86.34
"[784, 30, 4]",10.0,100,5,58.25,87.42
"[784, 30, 4]",10.0,100,10,54.87,87.22
"[784, 30, 4]",3.0,100,5,58.17,85.04
"[784, 30, 4]",3.0,50,5,29.04,85.62
