3,5,0.5,2.7715811729431152,36
3,5,1.0,2.785212278366089,52
3,5,3.0,2.8861427307128906,83
3,5,10.0,2.7771503925323486,76
3,10,0.5,2.574826717376709,33
3,10,1.0,2.60903263092041,52
3,10,3.0,2.626131772994995,61
3,10,10.0,2.7855167388916016,76
3,30,0.5,2.5074973106384277,8
3,30,1.0,2.419558525085449,20
3,30,3.0,2.435068130493164,53
3,30,10.0,2.419325828552246,56
3,100,0.5,2.4368960857391357,5
3,100,1.0,2.398576021194458,0
3,100,3.0,2.3943073749542236,34
3,100,10.0,2.36714506149292,34
10,5,0.5,9.715063571929932,55
10,5,1.0,9.956072807312012,85
10,5,3.0,10.155479192733765,74
10,5,10.0,9.708929538726807,74
10,10,0.5,9.276366233825684,51
10,10,1.0,9.321424961090088,77
10,10,3.0,9.058247804641724,84
10,10,10.0,8.953137636184692,81
10,30,0.5,8.426654815673828,44
10,30,1.0,8.30120062828064,50
10,30,3.0,8.297823429107666,74
10,30,10.0,8.263203859329224,83
10,100,0.5,8.324623107910156,8
10,100,1.0,7.838871479034424,17
10,100,3.0,7.922346115112305,49
10,100,10.0,7.981345891952515,74
50,5,0.5,47.089608907699585,83
50,5,1.0,47.1796293258667,79
50,5,3.0,47.78955817222595,87
50,5,10.0,47.44289684295654,93
50,10,0.5,43.56045913696289,79
50,10,1.0,43.934070348739624,84
50,10,3.0,42.84999418258667,80
50,10,10.0,44.17275905609131,84
50,30,0.5,41.38968348503113,70
50,30,1.0,41.829221963882446,67
50,30,3.0,41.3380012512207,84
50,30,10.0,42.12288951873779,77
50,100,0.5,40.21547079086304,56
50,100,1.0,41.09509539604187,59
50,100,3.0,40.36725378036499,68
50,100,10.0,40.34729862213135,83
100,5,0.5,93.89207410812378,81
100,5,1.0,94.24214386940002,84
100,5,3.0,92.7885217666626,83
100,5,10.0,94.15478301048279,87
100,10,0.5,87.88952088356018,85
100,10,1.0,87.97164011001587,91
100,10,3.0,88.18822002410889,76
100,10,10.0,86.57904434204102,83
100,30,0.5,85.42849397659302,77
100,30,1.0,79.84185719490051,81
100,30,3.0,88.32122230529785,85
100,30,10.0,90.3498387336731,87
100,100,0.5,85.02175307273865,52
100,100,1.0,80.88724160194397,73
100,100,3.0,80.84360790252686,75
100,100,10.0,89.88345956802368,83
