architecture,learning_rate,epochs,batch_size,time_sec,accuracy_%
Binario (4 salidas),1.0,50,10,43.666677951812744,85.0
Binario (4 salidas),1.0,50,30,42.08608388900757,77.0
Binario (4 salidas),1.0,50,100,41.81793570518494,74.0
Binario (4 salidas),1.0,100,5,93.38115811347961,74.0
Binario (4 salidas),1.0,100,10,88.25739073753357,83.0
Binario (4 salidas),1.0,100,30,84.07334518432617,72.0
Binario (4 salidas),1.0,100,100,82.87492251396179,80.0
Binario (4 salidas),3.0,3,5,2.7670717239379883,71.0
Binario (4 salidas),3.0,3,10,2.5957181453704834,72.0
Binario (4 salidas),3.0,3,30,2.4865100383758545,62.0
Binario (4 salidas),3.0,3,100,2.4536616802215576,47.0
Binario (4 salidas),3.0,10,5,9.374500036239624,83.0
Binario (4 salidas),3.0,10,10,8.841054439544678,76.0
Binario (4 salidas),3.0,10,30,8.460254907608032,71.0
Binario (4 salidas),3.0,10,100,8.274256229400635,69.0
Binario (4 salidas),3.0,50,5,46.6235830783844,89.0
Binario (4 salidas),3.0,50,10,43.81227254867554,85.0
Binario (4 salidas),3.0,50,30,42.10900068283081,86.0
Binario (4 salidas),3.0,50,100,41.66994500160217,79.0
Binario (4 salidas),3.0,100,5,93.1392605304718,86.0
Binario (4 salidas),3.0,100,10,87.84719038009644,70.0
Binario (4 salidas),3.0,100,30,84.32838106155396,85.0
Binario (4 salidas),3.0,100,100,82.94792580604553,79.0
Binario (4 salidas),10.0,3,5,2.7940118312835693,63.0
Binario (4 salidas),10.0,3,10,2.6332294940948486,80.0
Binario (4 salidas),10.0,3,30,2.5495166778564453,71.0
Binario (4 salidas),10.0,3,100,2.488271713256836,57.99999999999999
Binario (4 salidas),10.0,10,5,9.279568433761597,86.0
Binario (4 salidas),10.0,10,10,8.717443466186523,87.0
Binario (4 salidas),10.0,10,30,8.40828561782837,78.0
Binario (4 salidas),10.0,10,100,8.356687068939209,82.0
Binario (4 salidas),10.0,50,5,47.23173141479492,89.0
Binario (4 salidas),10.0,50,10,43.67996835708618,85.0
Binario (4 salidas),10.0,50,30,42.148921489715576,80.0
Binario (4 salidas),10.0,50,100,41.62466216087341,77.0
Binario (4 salidas),10.0,100,5,93.96564626693726,88.0
Binario (4 salidas),10.0,100,10,88.04340767860413,93.0
Binario (4 salidas),10.0,100,30,83.97972702980042,85.0
Binario (4 salidas),10.0,100,100,83.28387427330017,78.0
