Arquitectura,Tasa,Epocas,Lote,Tiempo (s),Exito (%)
"[784, 30, 4]",1.0,100,30,49.61716175079346,72
"[784, 30, 4]",1.0,100,100,48.66928720474243,78
"[784, 30, 4]",3.0,3,5,1.689901351928711,79
"[784, 30, 4]",3.0,3,10,1.5636141300201416,72
"[784, 30, 4]",3.0,3,30,1.4954633712768555,70
"[784, 30, 4]",3.0,3,100,1.4578406810760498,33
"[784, 30, 4]",3.0,10,5,5.626628160476685,88
"[784, 30, 4]",3.0,10,10,5.223264217376709,82
"[784, 30, 4]",3.0,10,30,4.982497453689575,74
"[784, 30, 4]",3.0,10,100,4.8689658641815186,60
"[784, 30, 4]",3.0,50,5,27.5951726436615,90
"[784, 30, 4]",3.0,50,10,25.653910160064697,78
"[784, 30, 4]",3.0,50,30,24.229889392852783,84
"[784, 30, 4]",3.0,50,100,23.67814874649048,73
"[784, 30, 4]",3.0,100,5,54.93680286407471,84
"[784, 30, 4]",3.0,100,10,50.761648178100586,86
"[784, 30, 4]",3.0,100,30,48.47444987297058,87
"[784, 30, 4]",3.0,100,100,47.74952840805054,74
"[784, 30, 4]",10.0,3,5,1.6896536350250244,36
"[784, 30, 4]",10.0,3,10,1.562565565109253,80
"[784, 30, 4]",10.0,3,30,1.4836091995239258,71
"[784, 30, 4]",10.0,3,100,1.4687392711639404,53
"[784, 30, 4]",10.0,10,5,5.646726846694946,87
"[784, 30, 4]",10.0,10,10,5.141663074493408,82
"[784, 30, 4]",10.0,10,30,4.8355889320373535,75
"[784, 30, 4]",10.0,10,100,4.746716737747192,65
"[784, 30, 4]",10.0,50,5,27.62506675720215,80
"[784, 30, 4]",10.0,50,10,25.397526025772095,90
"[784, 30, 4]",10.0,50,30,24.072211980819702,80
"[784, 30, 4]",10.0,50,100,24.82382035255432,78
"[784, 30, 4]",10.0,100,5,55.09600377082825,93
"[784, 30, 4]",10.0,100,10,50.81312799453735,91
"[784, 30, 4]",10.0,100,30,48.862752199172974,75
"[784, 30, 4]",10.0,100,100,48.5584933757782,79
