iteracion,exito,tiempo_ms,longitud_ruta,nodos_en_ruta
1,False,2077.5697231292725,0.0,0
2,False,1970.5440998077393,0.0,0
3,False,2036.247730255127,0.0,0
4,False,2045.2170372009277,0.0,0
5,True,1551.2382984161377,11.373211525403304,39
6,True,746.1569309234619,11.58729797383698,40
7,False,2022.1731662750244,0.0,0
8,False,1977.9245853424072,0.0,0
9,False,2081.101655960083,0.0,0
10,False,1932.8088760375977,0.0,0
11,False,1827.6281356811523,0.0,0
12,False,2029.0374755859375,0.0,0
13,False,1923.7680435180664,0.0,0
14,True,1411.2317562103271,10.364925660978077,36
15,False,1830.4684162139893,0.0,0
16,True,1237.992763519287,11.666619285086835,41
17,False,1787.3835563659668,0.0,0
18,True,1580.890417098999,10.728502192463383,38
19,False,2033.7138175964355,0.0,0
20,False,1976.5164852142334,0.0,0
21,False,2081.5234184265137,0.0,0
22,False,2063.4138584136963,0.0,0
23,True,1733.0322265625,12.940375200195685,45
24,False,2020.6434726715088,0.0,0
25,True,841.7022228240967,12.536193907580225,44
26,False,2023.4267711639404,0.0,0
27,False,2117.3620223999023,0.0,0
28,False,1897.1357345581055,0.0,0
29,True,1832.5233459472656,12.261041883607566,43
30,False,1944.4494247436523,0.0,0
