Rep,start,goal,epsilon,max_attempts,success,execution_time_ms
1,"(0.0, 0.0)","(5.0, 6.5)",0.5,200,0,82.968383
2,"(0.0, 0.0)","(5.0, 6.5)",0.5,200,0,48.710286
3,"(0.0, 0.0)","(5.0, 6.5)",0.5,200,0,67.28481
4,"(0.0, 0.0)","(5.0, 6.5)",0.5,200,0,45.26587
5,"(0.0, 0.0)","(5.0, 6.5)",0.5,200,0,35.916267
1,"(0.0, 0.0)","(5.0, 6.5)",0.5,50,0,8.249608
2,"(0.0, 0.0)","(5.0, 6.5)",0.5,50,0,9.117419
3,"(0.0, 0.0)","(5.0, 6.5)",0.5,50,0,10.863262
4,"(0.0, 0.0)","(5.0, 6.5)",0.5,50,0,7.084087
5,"(0.0, 0.0)","(5.0, 6.5)",0.5,50,0,9.638025
1,"(0.0, 0.0)","(5.0, 6.5)",0.5,700,0,348.173876
2,"(0.0, 0.0)","(5.0, 6.5)",0.5,700,0,378.944827
3,"(0.0, 0.0)","(5.0, 6.5)",0.5,700,0,258.03049
4,"(0.0, 0.0)","(5.0, 6.5)",0.5,700,1,142.07942
5,"(0.0, 0.0)","(5.0, 6.5)",0.5,700,0,242.967562
1,"(0.0, 0.0)","(5.0, 6.5)",0.5,2000,1,123.892392
2,"(0.0, 0.0)","(5.0, 6.5)",0.5,2000,1,94.367004
3,"(0.0, 0.0)","(5.0, 6.5)",0.5,2000,1,123.94688
4,"(0.0, 0.0)","(5.0, 6.5)",0.5,2000,1,153.179126
5,"(0.0, 0.0)","(5.0, 6.5)",0.5,2000,1,214.418564
1,"(0.0, 0.0)","(5.0, 6.5)",0.1,200,0,26.163382
2,"(0.0, 0.0)","(5.0, 6.5)",0.1,200,0,26.620709
3,"(0.0, 0.0)","(5.0, 6.5)",0.1,200,0,24.658849
4,"(0.0, 0.0)","(5.0, 6.5)",0.1,200,0,22.522684
5,"(0.0, 0.0)","(5.0, 6.5)",0.1,200,0,24.440442
1,"(0.0, 0.0)","(5.0, 6.5)",0.1,50,0,6.963397
2,"(0.0, 0.0)","(5.0, 6.5)",0.1,50,0,7.156557
3,"(0.0, 0.0)","(5.0, 6.5)",0.1,50,0,8.469238
4,"(0.0, 0.0)","(5.0, 6.5)",0.1,50,0,6.602933
5,"(0.0, 0.0)","(5.0, 6.5)",0.1,50,0,8.121948
1,"(0.0, 0.0)","(5.0, 6.5)",0.1,700,0,199.612178
2,"(0.0, 0.0)","(5.0, 6.5)",0.1,700,0,224.866551
3,"(0.0, 0.0)","(5.0, 6.5)",0.1,700,0,264.091731
4,"(0.0, 0.0)","(5.0, 6.5)",0.1,700,0,165.475075
5,"(0.0, 0.0)","(5.0, 6.5)",0.1,700,0,147.262732
1,"(0.0, 0.0)","(5.0, 6.5)",0.1,2000,0,1279.928794
2,"(0.0, 0.0)","(5.0, 6.5)",0.1,2000,0,1543.376925
3,"(0.0, 0.0)","(5.0, 6.5)",0.1,2000,0,1540.642138
4,"(0.0, 0.0)","(5.0, 6.5)",0.1,2000,0,1270.333414
5,"(0.0, 0.0)","(5.0, 6.5)",0.1,2000,0,1178.983796
1,"(0.0, 0.0)","(5.0, 6.5)",0.75,200,0,34.554708
2,"(0.0, 0.0)","(5.0, 6.5)",0.75,200,0,35.916434
3,"(0.0, 0.0)","(5.0, 6.5)",0.75,200,0,36.69293
4,"(0.0, 0.0)","(5.0, 6.5)",0.75,200,0,36.154547
5,"(0.0, 0.0)","(5.0, 6.5)",0.75,200,0,35.539882
1,"(0.0, 0.0)","(5.0, 6.5)",0.75,50,0,10.626566
2,"(0.0, 0.0)","(5.0, 6.5)",0.75,50,0,6.366153
