Rep,start,goal,epsilon,max_attempts,success,execution_time_ms
3,"(0.0, 0.0)","(5.0, 6.5)",0.75,50,0,8.313137
4,"(0.0, 0.0)","(5.0, 6.5)",0.75,50,0,12.40989
5,"(0.0, 0.0)","(5.0, 6.5)",0.75,50,0,7.574125
1,"(0.0, 0.0)","(5.0, 6.5)",0.75,700,1,84.522662
2,"(0.0, 0.0)","(5.0, 6.5)",0.75,700,1,63.954343
3,"(0.0, 0.0)","(5.0, 6.5)",0.75,700,1,68.30854
4,"(0.0, 0.0)","(5.0, 6.5)",0.75,700,1,57.185811
5,"(0.0, 0.0)","(5.0, 6.5)",0.75,700,0,345.05041
1,"(0.0, 0.0)","(5.0, 6.5)",0.75,2000,1,170.530753
2,"(0.0, 0.0)","(5.0, 6.5)",0.75,2000,1,110.865402
3,"(0.0, 0.0)","(5.0, 6.5)",0.75,2000,1,106.963631
4,"(0.0, 0.0)","(5.0, 6.5)",0.75,2000,1,80.987402
5,"(0.0, 0.0)","(5.0, 6.5)",0.75,2000,1,220.952986
1,"(0.0, 0.0)","(5.0, 6.5)",1.2,200,0,79.525037
2,"(0.0, 0.0)","(5.0, 6.5)",1.2,200,0,60.125881
3,"(0.0, 0.0)","(5.0, 6.5)",1.2,200,0,52.099873
4,"(0.0, 0.0)","(5.0, 6.5)",1.2,200,1,17.338059
5,"(0.0, 0.0)","(5.0, 6.5)",1.2,200,1,8.244435
1,"(0.0, 0.0)","(5.0, 6.5)",1.2,50,0,8.208717
2,"(0.0, 0.0)","(5.0, 6.5)",1.2,50,0,12.693265
3,"(0.0, 0.0)","(5.0, 6.5)",1.2,50,0,9.168607
4,"(0.0, 0.0)","(5.0, 6.5)",1.2,50,0,8.048409
5,"(0.0, 0.0)","(5.0, 6.5)",1.2,50,0,13.167583
1,"(0.0, 0.0)","(5.0, 6.5)",1.2,700,1,42.727261
2,"(0.0, 0.0)","(5.0, 6.5)",1.2,700,1,35.965996
3,"(0.0, 0.0)","(5.0, 6.5)",1.2,700,1,113.687323
4,"(0.0, 0.0)","(5.0, 6.5)",1.2,700,1,25.964956
5,"(0.0, 0.0)","(5.0, 6.5)",1.2,700,1,11.434717
1,"(0.0, 0.0)","(5.0, 6.5)",1.2,2000,1,89.584022
2,"(0.0, 0.0)","(5.0, 6.5)",1.2,2000,1,63.070122
3,"(0.0, 0.0)","(5.0, 6.5)",1.2,2000,1,158.411227
4,"(0.0, 0.0)","(5.0, 6.5)",1.2,2000,1,69.518783
5,"(0.0, 0.0)","(5.0, 6.5)",1.2,2000,1,408.840623
