Rep,start,goal,epsilon,max_attempts,success,execution_time_ms
2,"(0.0, 0.0)","(5.0, 0.0)",0.75,700,1,65.290123
3,"(0.0, 0.0)","(5.0, 0.0)",0.75,700,1,37.943446
4,"(0.0, 0.0)","(5.0, 0.0)",0.75,700,1,63.498896
5,"(0.0, 0.0)","(5.0, 0.0)",0.75,700,1,8.800283
1,"(0.0, 0.0)","(5.0, 0.0)",0.75,2000,1,14.051347
2,"(0.0, 0.0)","(5.0, 0.0)",0.75,2000,1,17.737431
3,"(0.0, 0.0)","(5.0, 0.0)",0.75,2000,1,7.219058
4,"(0.0, 0.0)","(5.0, 0.0)",0.75,2000,1,116.870058
5,"(0.0, 0.0)","(5.0, 0.0)",0.75,2000,1,13.07908
1,"(0.0, 0.0)","(5.0, 0.0)",1.2,200,1,23.56795
2,"(0.0, 0.0)","(5.0, 0.0)",1.2,200,1,44.187405
3,"(0.0, 0.0)","(5.0, 0.0)",1.2,200,1,38.133478
4,"(0.0, 0.0)","(5.0, 0.0)",1.2,200,1,11.393503
5,"(0.0, 0.0)","(5.0, 0.0)",1.2,200,1,35.246745
1,"(0.0, 0.0)","(5.0, 0.0)",1.2,50,0,9.837625
2,"(0.0, 0.0)","(5.0, 0.0)",1.2,50,1,15.208488
3,"(0.0, 0.0)","(5.0, 0.0)",1.2,50,0,11.18338
4,"(0.0, 0.0)","(5.0, 0.0)",1.2,50,1,12.835184
5,"(0.0, 0.0)","(5.0, 0.0)",1.2,50,0,9.923766
1,"(0.0, 0.0)","(5.0, 0.0)",1.2,700,1,17.581915
2,"(0.0, 0.0)","(5.0, 0.0)",1.2,700,1,11.203593
3,"(0.0, 0.0)","(5.0, 0.0)",1.2,700,1,31.108294
4,"(0.0, 0.0)","(5.0, 0.0)",1.2,700,1,11.710883
5,"(0.0, 0.0)","(5.0, 0.0)",1.2,700,1,28.997339
1,"(0.0, 0.0)","(5.0, 0.0)",1.2,2000,1,5.308066
2,"(0.0, 0.0)","(5.0, 0.0)",1.2,2000,1,16.876377
3,"(0.0, 0.0)","(5.0, 0.0)",1.2,2000,1,39.120884
4,"(0.0, 0.0)","(5.0, 0.0)",1.2,2000,1,25.709466
5,"(0.0, 0.0)","(5.0, 0.0)",1.2,2000,1,48.44573
