Rep,start,goal,epsilon,max_attempts,success,execution_time_ms
1,"(0.0, 0.0)","(5.0, 0.0)",0.5,200,1,13.210114
2,"(0.0, 0.0)","(5.0, 0.0)",0.5,200,0,59.573378
3,"(0.0, 0.0)","(5.0, 0.0)",0.5,200,1,11.007071
4,"(0.0, 0.0)","(5.0, 0.0)",0.5,200,0,42.851828
5,"(0.0, 0.0)","(5.0, 0.0)",0.5,200,0,48.950664
1,"(0.0, 0.0)","(5.0, 0.0)",0.5,50,0,10.241143
2,"(0.0, 0.0)","(5.0, 0.0)",0.5,50,0,7.085338
3,"(0.0, 0.0)","(5.0, 0.0)",0.5,50,0,8.243148
4,"(0.0, 0.0)","(5.0, 0.0)",0.5,50,0,8.152757
5,"(0.0, 0.0)","(5.0, 0.0)",0.5,50,0,9.079669
1,"(0.0, 0.0)","(5.0, 0.0)",0.5,700,1,30.921926
2,"(0.0, 0.0)","(5.0, 0.0)",0.5,700,1,148.615586
3,"(0.0, 0.0)","(5.0, 0.0)",0.5,700,1,17.545787
4,"(0.0, 0.0)","(5.0, 0.0)",0.5,700,1,10.185344
5,"(0.0, 0.0)","(5.0, 0.0)",0.5,700,0,306.015883
1,"(0.0, 0.0)","(5.0, 0.0)",0.5,2000,1,66.781236
2,"(0.0, 0.0)","(5.0, 0.0)",0.5,2000,1,75.945971
3,"(0.0, 0.0)","(5.0, 0.0)",0.5,2000,1,12.235488
4,"(0.0, 0.0)","(5.0, 0.0)",0.5,2000,1,158.268015
5,"(0.0, 0.0)","(5.0, 0.0)",0.5,2000,1,51.680887
1,"(0.0, 0.0)","(5.0, 0.0)",0.1,200,0,18.798946
2,"(0.0, 0.0)","(5.0, 0.0)",0.1,200,0,22.932958
3,"(0.0, 0.0)","(5.0, 0.0)",0.1,200,0,27.949489
4,"(0.0, 0.0)","(5.0, 0.0)",0.1,200,0,26.106615
5,"(0.0, 0.0)","(5.0, 0.0)",0.1,200,0,21.848592
1,"(0.0, 0.0)","(5.0, 0.0)",0.1,50,0,3.414295
2,"(0.0, 0.0)","(5.0, 0.0)",0.1,50,0,5.282201
3,"(0.0, 0.0)","(5.0, 0.0)",0.1,50,0,4.564542
4,"(0.0, 0.0)","(5.0, 0.0)",0.1,50,0,7.12781
5,"(0.0, 0.0)","(5.0, 0.0)",0.1,50,0,8.63518
1,"(0.0, 0.0)","(5.0, 0.0)",0.1,700,0,195.073739
2,"(0.0, 0.0)","(5.0, 0.0)",0.1,700,0,220.919085
3,"(0.0, 0.0)","(5.0, 0.0)",0.1,700,0,237.123865
4,"(0.0, 0.0)","(5.0, 0.0)",0.1,700,0,204.124209
5,"(0.0, 0.0)","(5.0, 0.0)",0.1,700,0,215.982004
1,"(0.0, 0.0)","(5.0, 0.0)",0.1,2000,0,1300.202555
2,"(0.0, 0.0)","(5.0, 0.0)",0.1,2000,0,1268.445371
3,"(0.0, 0.0)","(5.0, 0.0)",0.1,2000,0,1568.981034
4,"(0.0, 0.0)","(5.0, 0.0)",0.1,2000,0,1807.154073
5,"(0.0, 0.0)","(5.0, 0.0)",0.1,2000,1,770.130492
1,"(0.0, 0.0)","(5.0, 0.0)",0.75,200,1,28.686254
2,"(0.0, 0.0)","(5.0, 0.0)",0.75,200,1,12.180869
3,"(0.0, 0.0)","(5.0, 0.0)",0.75,200,0,45.188697
4,"(0.0, 0.0)","(5.0, 0.0)",0.75,200,1,29.659832
5,"(0.0, 0.0)","(5.0, 0.0)",0.75,200,0,52.510978
1,"(0.0, 0.0)","(5.0, 0.0)",0.75,50,1,7.818703
2,"(0.0, 0.0)","(5.0, 0.0)",0.75,50,0,13.502129
3,"(0.0, 0.0)","(5.0, 0.0)",0.75,50,0,9.972326
4,"(0.0, 0.0)","(5.0, 0.0)",0.75,50,1,7.081059
5,"(0.0, 0.0)","(5.0, 0.0)",0.75,50,0,10.981869
1,"(0.0, 0.0)","(5.0, 0.0)",0.75,700,1,10.042704
