Kd,Ka,mean_error,final_error,steps
5.0,5.0,0.08353332788736323,0.060929886778780556,382
5.0,2.5500000000000003,0.08425713971989998,0.07361265348203794,401
5.0,3.7750000000000004,0.08613727279350142,0.06871625120477513,390
3.7750000000000004,3.7750000000000004,0.09032247662777378,0.07258761710631026,387
5.0,1.3250000000000002,0.09049266336313382,0.06417258664754033,455
3.7750000000000004,5.0,0.0934188165440699,0.08045376420907786,383
3.7750000000000004,2.5500000000000003,0.09654486628399653,0.08196948165684556,403
3.7750000000000004,1.3250000000000002,0.0986170781535888,0.0948227655350445,434
2.5500000000000003,3.7750000000000004,0.10485748401718493,0.07984718907057559,390
2.5500000000000003,5.0,0.10701438470290968,0.0893731826378919,386
2.5500000000000003,2.5500000000000003,0.10849685164779851,0.0677846334598939,404
2.5500000000000003,1.3250000000000002,0.12198058728695753,0.09529167001605972,447
1.3250000000000002,5.0,0.12846595248361994,0.08803202785426942,389
1.3250000000000002,3.7750000000000004,0.13083183874963017,0.08042583537279824,397
0.1,5.0,0.1327816605073441,0.06214199069518809,393
1.3250000000000002,2.5500000000000003,0.14426803745896327,0.06803418933791977,422
0.1,3.7750000000000004,0.14689993508706273,0.09771017054651385,405
1.3250000000000002,1.3250000000000002,0.1647501604654001,0.09177814896009277,484
0.1,2.5500000000000003,0.1805845330404299,0.07745210620780663,442
0.1,1.3250000000000002,0.23172599711749278,0.09512826745874085,538
